Year,Month,revenue,orders
2015,1,2882798,30
2015,2,799427,28
2015,3,19553701,69
2015,4,8892834,63
2015,5,9345661,68
2015,6,18025561,64
2015,7,16773109,64
2015,8,14016061,70
2015,9,40800209,129
2015,10,14000386,78
2015,11,35405410,145
2015,12,33668479,139
2016,1,23146257,29
2016,2,3470585,36
2016,3,22158954,75
2016,4,16496905,71
2016,5,19534169,72
2016,6,13603731,66
2016,7,12071722,64
2016,8,18445663,67
2016,9,22122442,137
2016,10,22172743,86
2016,11,37387277,157
2016,12,32117162,159
2017,1,8077210,48
2017,2,5959311,45
2017,3,22019279,85
2017,4,18363941,88
2017,5,24677478,107
2017,6,17071144,95
2017,7,16162774,95
2017,8,25978069,89
2017,9,67526914,186
2017,10,17187444,103
2017,11,48484917,182
2017,12,34466545,172
2018,1,16985532,67
2018,2,9154040,52
2018,3,19744470,117
2018,4,25183721,115
2018,5,23864722,116
2018,6,33669225,129
2018,7,16644628,108
2018,8,36287362,109
2018,9,41636575,222
2018,10,40639645,144
2018,11,54670693,259
2018,12,33417914,223
