Order_ID,Order_Date,Customer_ID,Segment,Region,Ship_Mode,order_revenue
CA-2015-100006,2015-09-07,DK-13375,Consumer,East,Standard Class,37797
CA-2015-100090,2015-07-08,EB-13705,Corporate,West,Standard Class,699192
CA-2015-100293,2015-03-14,NF-18475,Home Office,South,Standard Class,91056
CA-2015-100328,2015-01-28,JC-15340,Consumer,East,Standard Class,3928
CA-2015-100363,2015-04-08,JM-15655,Corporate,West,Standard Class,21376
CA-2015-100391,2015-05-25,BW-11065,Consumer,East,Standard Class,1462
CA-2015-100678,2015-04-18,KM-16720,Consumer,Central,Standard Class,697074
CA-2015-100706,2015-12-16,LE-16810,Consumer,South,Second Class,12944
CA-2015-100762,2015-11-24,NG-18355,Corporate,Central,Standard Class,50862
CA-2015-100860,2015-03-26,CS-12505,Consumer,West,Second Class,1875
CA-2015-100867,2015-10-19,EH-14125,Home Office,West,Standard Class,321552
CA-2015-100881,2015-03-28,DR-12940,Home Office,West,Standard Class,302376
CA-2015-100895,2015-06-02,SV-20785,Consumer,South,Standard Class,60547
CA-2015-100916,2015-10-21,FH-14275,Corporate,South,Standard Class,61363
CA-2015-100972,2015-11-19,DB-13360,Home Office,West,Second Class,16644
CA-2015-101147,2015-12-02,MC-17575,Consumer,Central,First Class,2394
CA-2015-101175,2015-12-09,DM-12955,Corporate,West,Standard Class,100704
CA-2015-101266,2015-08-27,MM-17920,Consumer,South,Second Class,1336
CA-2015-101364,2015-12-22,TW-21025,Home Office,East,Standard Class,296712
CA-2015-101392,2015-12-07,AS-10630,Home Office,West,Standard Class,26936
CA-2015-101427,2015-12-26,AY-10555,Corporate,East,Standard Class,8016
CA-2015-101462,2015-04-20,BP-11230,Consumer,West,Standard Class,5992
CA-2015-101476,2015-09-12,SD-20485,Home Office,East,First Class,6999
CA-2015-101560,2015-11-28,CS-12250,Corporate,South,Second Class,18450
CA-2015-101602,2015-12-15,MC-18100,Consumer,Central,First Class,80396
CA-2015-101770,2015-03-31,KB-16240,Corporate,South,Standard Class,1869
CA-2015-101833,2015-11-17,FG-14260,Home Office,East,Second Class,3444
CA-2015-101931,2015-10-28,TS-21370,Corporate,West,First Class,674298
CA-2015-102008,2015-09-30,RA-19915,Consumer,East,Standard Class,4894
CA-2015-102085,2015-10-04,JD-16015,Consumer,West,Standard Class,2924
CA-2015-102274,2015-11-21,DH-13075,Corporate,South,Standard Class,29931
CA-2015-102295,2015-11-24,EH-13990,Consumer,West,Second Class,120712
CA-2015-102330,2015-12-29,AI-10855,Consumer,West,Standard Class,320856
CA-2015-102645,2015-01-23,IM-15055,Consumer,West,Standard Class,4008
CA-2015-102652,2015-04-06,AY-10555,Corporate,West,Standard Class,19999
CA-2015-102673,2015-11-01,KH-16630,Corporate,South,Standard Class,156716
CA-2015-102869,2015-09-09,LC-17140,Consumer,East,Second Class,233244
CA-2015-102988,2015-04-05,GM-14695,Corporate,South,Second Class,425192
CA-2015-103058,2015-07-23,AG-10270,Consumer,East,First Class,9998
CA-2015-103086,2015-10-17,EB-14170,Consumer,Central,Second Class,5312
CA-2015-103100,2015-12-20,AB-10105,Consumer,Central,First Class,110766
CA-2015-103191,2015-09-22,VG-21805,Corporate,Central,Standard Class,331536
CA-2015-103219,2015-11-09,BF-11215,Home Office,East,Standard Class,5652
CA-2015-103310,2015-05-10,GM-14680,Consumer,West,Standard Class,266316
CA-2015-103317,2015-07-05,DM-13525,Corporate,South,First Class,216149
CA-2015-103331,2015-08-26,KB-16315,Consumer,East,Standard Class,3140
CA-2015-103366,2015-01-15,EH-13990,Consumer,South,First Class,14995
CA-2015-103373,2015-05-18,BS-11755,Consumer,East,Standard Class,779796
CA-2015-103401,2015-11-21,GR-14560,Corporate,West,Standard Class,1296
CA-2015-103429,2015-05-30,LW-16825,Corporate,East,First Class,53639
CA-2015-103492,2015-10-10,CM-12715,Corporate,Central,Standard Class,1477992
CA-2015-103527,2015-09-09,CC-12220,Consumer,Central,Second Class,10896
CA-2015-103590,2015-11-30,JL-15505,Consumer,East,Standard Class,6228
CA-2015-103660,2015-08-25,MW-18220,Consumer,West,Standard Class,1007944
CA-2015-103702,2015-09-12,AF-10885,Consumer,East,Standard Class,63924
CA-2015-103744,2015-02-23,MG-17875,Home Office,Central,Standard Class,11364
CA-2015-103800,2015-01-03,DP-13000,Consumer,Central,Standard Class,16448
CA-2015-103807,2015-12-02,EM-13825,Corporate,South,Standard Class,2119
CA-2015-103849,2015-05-11,PG-18895,Consumer,Central,Standard Class,225016
CA-2015-103940,2015-09-17,BN-11515,Consumer,West,Standard Class,26079
CA-2015-103989,2015-03-19,MC-17605,Corporate,South,First Class,383789
CA-2015-104178,2015-08-25,JM-15265,Corporate,West,Standard Class,9055
CA-2015-104269,2015-03-01,DB-13060,Consumer,West,Second Class,457568
CA-2015-104283,2015-06-27,LM-17065,Consumer,South,Standard Class,34056
CA-2015-104402,2015-06-17,DB-13660,Consumer,East,Standard Class,6597
CA-2015-104472,2015-06-02,CK-12325,Home Office,West,Standard Class,67140
CA-2015-104563,2015-03-07,CM-12715,Corporate,West,Standard Class,922386
CA-2015-104738,2015-12-30,SP-20620,Corporate,Central,Second Class,609614
CA-2015-104773,2015-12-08,TB-21175,Corporate,Central,Standard Class,60416
CA-2015-104780,2015-05-21,BT-11530,Home Office,West,Standard Class,3184
CA-2015-104808,2015-02-04,MH-17440,Corporate,West,Second Class,17248
